Day,TaxRate,TaxRevenue
109,100.0,1090000.0
110,100.0,1100000.0
111,100.0,1110000.0
112,100.0,1120000.0
113,100.0,1130000.0
114,100.0,1140000.0
115,100.0,1150000.0
116,100.0,1160000.0
117,100.0,1170000.0
118,100.0,1180000.0
119,100.0,1190000.0
120,100.0,1200000.0
121,100.0,1210000.0
122,100.0,1220000.0
123,100.0,1230000.0
124,100.0,1240000.0
125,100.0,1250000.0
126,100.0,1260000.0
127,100.0,1270000.0
128,100.0,1280000.0
129,100.0,1290000.0
130,100.0,1300000.0
131,100.0,1310000.0
132,100.0,1320000.0
133,100.0,1330000.0
134,100.0,1340000.0
135,100.0,1350000.0
136,100.0,1360000.0
137,100.0,1370000.0
138,100.0,1380000.0
139,100.0,1389900.0
140,100.0,1398900.0
141,100.0,1407900.0
142,100.0,1416900.0
143,100.0,1425900.0
144,100.0,1434900.0
145,100.0,1443900.0
146,100.0,1452200.0
147,100.0,1460200.0
148,100.0,1468200.0
149,100.0,1476200.0
150,100.0,1484200.0
151,100.0,1492200.0
152,100.0,1500200.0
153,100.0,1508200.0
154,100.0,1516200.0
155,100.0,1524200.0
156,100.0,1532200.0
157,100.0,1540200.0
158,100.0,1548200.0
159,100.0,1556200.0
160,100.0,1564200.0
161,100.0,1572200.0
162,100.0,1580200.0
163,100.0,1588200.0
164,100.0,1596200.0
165,100.0,1604200.0
166,100.0,1612200.0
167,100.0,1620200.0
168,100.0,1628200.0
169,100.0,1636200.0
170,100.0,1644200.0
171,100.0,1652200.0
172,100.0,1660200.0
173,100.0,1668200.0
174,100.0,1676200.0
175,100.0,1684200.0
176,100.0,1692200.0
177,100.0,1700200.0
178,100.0,1708200.0
179,100.0,1716200.0
180,100.0,1724200.0
181,100.0,1732200.0
182,100.0,1740200.0
183,100.0,1748200.0
184,100.0,1756200.0
185,100.0,1764200.0
186,100.0,1772200.0
187,100.0,1780200.0
188,100.0,1788200.0
189,100.0,1796200.0
190,100.0,1804200.0
191,100.0,1812200.0
192,100.0,1820200.0
193,100.0,1828200.0
194,100.0,1836200.0
195,100.0,1844200.0
196,100.0,1852200.0
197,100.0,1860200.0
198,100.0,1868200.0
199,100.0,1876200.0
200,100.0,1884200.0
201,100.0,1892200.0
202,100.0,1900200.0
203,100.0,1907600.0
204,100.0,1914600.0
205,100.0,1921600.0
206,100.0,1928600.0
207,100.0,1935600.0
208,100.0,1942600.0
209,100.0,1949600.0
210,100.0,1956600.0
211,100.0,1963600.0
212,100.0,1970600.0
213,100.0,1977600.0
214,100.0,1984600.0
215,100.0,1991600.0
216,100.0,1998600.0
217,100.0,2005600.0
218,100.0,2012600.0
219,100.0,2019600.0
220,100.0,2026600.0
221,100.0,2033600.0
222,100.0,2040600.0
223,100.0,2047600.0
224,100.0,2054600.0
225,100.0,2061600.0
226,100.0,2068600.0
227,100.0,2075600.0
228,100.0,2082600.0
229,100.0,2089600.0
230,100.0,2096600.0
231,100.0,2103600.0
232,100.0,2110600.0
233,100.0,2117600.0
234,100.0,2124600.0
235,100.0,2131600.0
236,100.0,2138600.0
237,100.0,2145600.0
238,100.0,2152600.0
239,100.0,2159600.0
240,100.0,2166600.0
241,100.0,2173600.0
242,100.0,2180600.0
243,100.0,2187600.0
244,100.0,2194600.0
245,100.0,2201600.0
246,100.0,2208600.0
247,100.0,2215600.0
248,100.0,2222600.0
249,100.0,2229600.0
250,100.0,2236600.0
251,100.0,2243600.0
252,100.0,2250600.0
253,100.0,2257600.0
254,100.0,2264600.0
255,100.0,2271600.0
256,100.0,2278600.0
257,100.0,2285600.0
258,100.0,2292600.0
259,100.0,2299600.0
260,100.0,2306600.0
261,100.0,2313600.0
262,100.0,2320600.0
263,100.0,2327600.0
264,100.0,2334600.0
265,100.0,2341600.0
266,100.0,2348600.0
267,100.0,2355600.0
268,100.0,2362600.0
269,100.0,2369600.0
270,100.0,2376600.0
271,100.0,2383600.0
272,100.0,2390600.0
273,100.0,2397600.0
274,100.0,2404600.0
275,100.0,2411600.0
276,100.0,2418600.0
277,100.0,2425600.0
278,100.0,2432600.0
279,100.0,2439400.0
280,100.0,2445400.0
281,100.0,2451400.0
282,100.0,2457400.0
283,100.0,2463400.0
284,100.0,2469400.0
285,100.0,2475400.0
286,100.0,2481400.0
287,100.0,2487400.0
288,100.0,2493400.0
289,100.0,2499400.0
290,100.0,2505400.0
291,100.0,2511400.0
292,100.0,2517400.0
293,100.0,2523400.0
294,100.0,2529400.0
295,100.0,2535400.0
296,100.0,2541400.0
297,100.0,2547400.0
298,100.0,2553400.0
299,100.0,2559400.0
300,100.0,2565400.0
301,100.0,2571400.0
302,100.0,2577400.0
303,100.0,2583400.0
304,100.0,2589400.0
305,100.0,2595400.0
306,100.0,2601400.0
307,100.0,2607400.0
308,100.0,2613400.0
309,100.0,2619400.0
310,100.0,2625400.0
311,100.0,2631400.0
312,100.0,2637400.0
313,100.0,2643400.0
314,100.0,2649400.0
315,100.0,2655400.0
316,100.0,2661400.0
317,100.0,2667400.0
318,100.0,2673400.0
319,100.0,2679400.0
320,100.0,2685400.0
321,100.0,2691400.0
322,100.0,2697400.0
323,100.0,2703400.0
324,100.0,2709400.0
325,100.0,2715400.0
326,100.0,2721400.0
327,100.0,2727400.0
328,100.0,2733400.0
329,100.0,2739400.0
330,100.0,2745400.0
331,100.0,2751400.0
332,100.0,2757400.0
333,100.0,2763400.0
334,100.0,2769400.0
335,100.0,2775400.0
336,100.0,2781400.0
337,100.0,2787400.0
338,100.0,2793400.0
339,100.0,2799400.0
340,100.0,2805400.0
341,100.0,2811400.0
342,100.0,2817400.0
343,100.0,2823400.0
344,100.0,2829400.0
345,100.0,2834400.0
346,100.0,2839400.0
347,100.0,2844400.0
348,100.0,2849400.0
349,100.0,2854400.0
350,100.0,2859400.0
351,100.0,2864400.0
352,100.0,2869400.0
353,100.0,2874400.0
354,100.0,2879400.0
355,100.0,2884400.0
356,100.0,2889400.0
357,100.0,2894400.0
358,100.0,2899400.0
359,100.0,2903400.0
360,100.0,2907400.0
