DataSet,Day,Income,Goods,Land,Labour,Capital
Household5,20,-2.033742791621645,160,3500,2344,3484
Household6,20,-2.9302376127407648,131,2037,8715,6074
Household7,20,-3.5037160311781133,132,8149,2381,1824
Household8,20,26.98781995391934,183,6648,7343,2588
Household9,20,3.3584363775870205,90,4396,9684,3240
Household10,20,1.2312035324224926,111,5309,2516,1253
Household1,21,-2.4327996666751144,126,8210,6595,5489
Household2,21,1.6064126454403738,68,2586,4605,3370
Household3,21,2.9078582280000234,100,3883,8925,1179
Household4,21,9.103309814402262,196,8869,3116,5466
Household5,21,-2.621174210935706,168,3490,2334,3474
Household6,21,2.9416014829991415,137,2027,8705,6064
Household7,21,2.540767579441331,138,8139,2371,1814
Household8,21,2.9484447296882,193,6638,7333,2578
Household9,21,-0.23088041182258046,95,4386,9674,3230
Household10,21,-1.0115301324915702,117,5299,2506,1243
Household1,22,-3.8717435646333005,132,8200,6585,5479
Household2,22,3.580043467393546,71,2576,4595,3360
Household3,22,-2.1860098532366337,105,3873,8915,1169
Household4,22,2.3988491566366186,205,8859,3106,5456
Household5,22,-3.208605630249778,176,3480,2324,3464
Household6,22,-3.68942340974991,144,2017,8695,6054
Household7,22,-3.91761279842817,145,8129,2361,1804
Household8,22,16.31425271471133,202,6628,7323,2568
Household9,22,4.147769721883089,99,4376,9664,3220
Household10,22,-3.2542637974056685,123,5289,2496,1233
Household1,23,-0.7757903972178379,138,8190,6575,5469
Household2,23,-2.414292633768566,75,2566,4585,3350
Household3,23,3.9992952579591616,109,3863,8905,1159
Household4,23,26.538725316400708,214,8849,3096,5446
Household5,23,4.171929873551413,183,3470,2314,3454
Household6,23,2.1824156859900032,150,2007,8685,6044
Household7,23,2.1268708121912656,151,8119,2351,1794
Household8,23,-3.2117972444793708,211,6618,7313,2558
Household9,23,-3.976444132900186,104,4366,9654,3210
Household10,23,2.4709694607955104,128,5279,2486,1223
Household1,24,-0.9910434991195611,144,8180,6565,5459
Household2,24,-0.44066181181536557,78,2556,4575,3340
Household3,24,-1.0945728232774954,114,3853,8895,1149
Household4,24,11.866297735519804,224,8839,3086,5436
Household5,24,-1.954747070212985,192,3460,2304,3444
Household6,24,-4.44860920675902,157,1997,8675,6034
Household7,24,-4.331509565678235,158,8109,2341,1784
Household8,24,10.154010740543754,220,6608,7303,2548
Household9,24,0.40220600080548685,108,4356,9644,3200
Household10,24,-4.30666126949224,134,5269,2476,1213
Household1,25,-1.2062966010212701,150,8170,6555,5449
Household2,25,1.5329690101378208,81,2546,4565,3330
Household3,25,-2.877234635196963,119,3843,8885,1139
Household4,25,-2.8061298453611023,234,8829,3076,5426
Household5,25,-2.5421784895270463,200,3450,2294,3434
Household6,25,1.4232298889808934,163,1987,8665,6024
Household7,25,1.7129740449412,164,8099,2331,1774
Household8,25,23.51981872556692,229,6598,7293,2538
Household9,25,-3.187110788604114,113,4346,9634,3190
Household10,25,1.4185719887089423,139,5259,2466,1203
Household1,26,-1.421549702922979,156,8160,6545,5439
Household2,26,3.506599832091,84,2536,4555,3320
Household3,26,3.308070475998832,123,3833,8875,1129
Household4,26,21.333746314402998,243,8819,3066,5416
Household5,26,-3.1296099088411182,208,3440,2284,3424
Household6,26,-0.6728979383944562,170,1977,8655,6014
Household7,26,-0.2105092675546274,171,8089,2321,1764
Household8,26,-0.5195564986642207,239,6588,7283,2528
Household9,26,1.191539345101555,117,4336,9624,3180
Household10,26,-0.8241616762051347,145,5249,2456,1193
Household1,27,-1.636802804824688,162,8150,6535,5429
Household2,27,-2.487736269071119,88,2526,4545,3310
Household3,27,-1.7857976052378248,128,3823,8865,1119
Household4,27,6.661318733522091,253,8809,3056,5406
Household5,27,4.250925594960073,215,3430,2274,3414
Household6,27,-2.7690257657698254,177,1967,8645,6004
Household7,27,-2.133992580050446,178,8079,2311,1754
Household8,27,12.84625148635891,248,6578,7273,2518
Household9,27,-2.397777444308046,122,4326,9614,3170
Household10,27,-3.066895341119233,151,5239,2446,1183
Household1,28,-1.852055906726397,168,8140,6525,5419
Household2,28,-0.5141054471179185,91,2516,4535,3300
Household3,28,-3.5684594171572925,133,3813,8855,1109
Household4,28,-2.0906630509276596,262,8799,3046,5396
Household5,28,-1.8757513488043251,224,3420,2264,3404
Household6,28,3.10281332997007,183,1957,8635,5994
Household7,28,3.910491030569,184,8069,2301,1744
Household8,28,26.212059471382048,257,6568,7263,2508
Household9,28,1.9808726893976232,126,4316,9604,3160
Household10,28,2.658337917081946,156,5229,2436,1173
Household1,29,-2.067309008628106,174,8130,6515,5409
Household2,29,1.459525374835268,94,2506,4525,3290
Household3,29,-0.9158957966716379,140,3803,8845,1099
Household4,29,22.049213108836437,271,8789,3036,5386
Household5,29,-2.4631827681183864,232,3410,2254,3394
Household6,29,-2.9349127044925716,190,1947,8625,5984
Household7,29,-1.954590489014091,191,8059,2291,1734
Household8,29,2.1726842471509062,267,6558,7253,2498
Household9,29,-1.6084441000119778,131,4306,9594,3150
Household10,29,-4.119292813205805,162,5219,2426,1163
Household1,30,-2.282562110529815,180,8120,6505,5399
Household2,30,3.433156196788447,97,2496,4515,3280
Household3,30,-2.698557608591095,145,3793,8835,1089
Household4,30,7.37678552795553,281,8779,3026,5376
Household5,30,-3.0506141874324584,240,3400,2244,3384
Household6,30,2.9369263912473347,196,1937,8615,5974
Household7,30,4.089893121605337,197,8049,2281,1724
Household8,30,15.538492232174036,276,6548,7243,2488
Household9,30,2.7702060336936913,135,4296,9584,3140
Household10,30,1.6059404449953778,167,5209,2416,1153
Household1,31,-3.721506008488001,186,8110,6495,5389
Household2,31,-2.561179904373658,101,2486,4505,3270
Household3,31,3.4867475026047003,149,3783,8825,1079
Household4,31,-1.3751962564942204,290,8769,3016,5366
Household5,31,-3.6380456067465303,248,3390,2234,3374
Household6,31,-3.694098501501717,203,1927,8605,5964
Household7,31,-1.7751883979777539,204,8039,2271,1714
Household8,31,3.9804091960985986,284,6538,7233,2478
Household9,31,-0.8191107557159096,140,4286,9574,3130
Household10,31,-0.6367932199186992,173,5199,2406,1143
Household1,32,-0.6255528410725102,192,8100,6485,5379
Household2,32,-0.5875490824204572,104,2476,4495,3260
Household3,32,-1.6071205786319567,154,3773,8815,1069
Household4,32,22.764679903269876,299,8759,3006,5356
Household5,32,3.7424898970546607,255,3380,2224,3364
Household6,32,2.1777405942381964,209,1917,8595,5954
Household7,32,4.2692952126416746,210,8029,2261,1704
Household8,32,17.346217181121716,293,6528,7223,2468
Household9,32,3.5595393779897595,144,4276,9564,3120
Household10,32,-2.8795268848327975,179,5189,2396,1133
Household1,33,-0.8408059429742334,198,8090,6475,5369
Household2,33,1.3860817395327363,107,2466,4485,3250
Household3,33,-3.3897823905514244,159,3763,8805,1059
Household4,33,8.092252322388969,309,8749,2996,5346
Household5,33,-2.3841870467097372,264,3370,2214,3354
Household6,33,-4.453284298510827,216,1907,8585,5944
Household7,33,-1.5957863069414167,217,8019,2251,1694
Household8,33,-2.1798327780689846,302,6518,7213,2458
Household9,33,-4.564674476793515,149,4266,9554,3110
Household10,33,2.8457063733683814,184,5179,2386,1123
Household1,34,-1.0560590448759424,204,8080,6465,5359
Household2,34,3.3597125614859085,110,2456,4475,3240
Household3,34,2.795522720644371,163,3753,8795,1049
Household4,34,-0.6597294620607812,318,8739,2986,5336
Household5,34,-2.9716184660237985,272,3360,2204,3344
Household6,34,1.4185547972290866,222,1897,8575,5934
Household7,34,-3.5192696194372513,224,8009,2241,1684
Household8,34,11.18597520695414,311,6508,7203,2448
Household9,34,-0.18602434308784233,153,4256,9544,3100
Household10,34,-3.931924356919369,190,5169,2376,1113
Household1,35,-1.2713121467776514,210,8070,6455,5349
Household2,35,-2.6346235396761966,114,2446,4465,3230
Household3,35,-2.298345360592286,168,3743,8785,1039
Household4,35,23.480146697703308,327,8729,2976,5326
Household5,35,-3.5590498853378705,280,3350,2194,3334
Household6,35,-0.677573030146263,229,1887,8565,5924
Household7,35,2.525213991182193,230,7999,2231,1674
Household8,35,24.551783191977307,320,6498,7193,2438
Household9,35,4.19262579061782,157,4246,9534,3090
Household10,35,1.7933089012818133,195,5159,2366,1103
Household1,36,-1.4865652486793604,216,8060,6445,5339
Household2,36,-0.660992717722996,117,2436,4455,3220
Household3,36,3.886959750603509,172,3733,8775,1029
Household4,36,8.807719116822408,337,8719,2966,5316
Household5,36,3.8214856184633206,287,3340,2184,3324
Household6,36,-2.773700857521632,236,1877,8555,5914
Household7,36,-3.933166386687308,237,7989,2221,1664
Household8,36,0.5124079677461655,330,6488,7183,2428
Household9,36,-3.931588064165455,162,4236,9524,3080
Household10,36,-0.4494247636322637,201,5149,2356,1093
Household1,37,-1.7018183505810693,222,8050,6435,5329
Household2,37,1.3126381042301976,120,2426,4445,3210
Household3,37,-1.2069083306331478,177,3723,8765,1019
Household4,37,2.1032584590567645,346,8709,2956,5306
Household5,37,-2.3051913253010774,296,3330,2174,3314
Household6,37,3.0981382382182634,242,1867,8545,5904
Household7,37,2.1113172239321276,243,7979,2211,1654
Household8,37,13.878215952769295,339,6478,7173,2418
Household9,37,0.4470620695402179,166,4226,9514,3070
Household10,37,-2.692158428546362,207,5139,2346,1083
Household1,38,-1.9170714524827783,228,8040,6425,5319
Household2,38,3.286268926183377,123,2416,4435,3200
Household3,38,-2.9895701425526156,182,3713,8755,1009
Household4,38,26.243134618820854,355,8699,2946,5296
Household5,38,-2.8926227446151387,304,3320,2164,3304
Household6,38,-2.9395877962443784,249,1857,8535,5894
Household7,38,-4.347063153937373,250,7969,2201,1644
Household8,38,27.244023937792434,348,6468,7163,2408
Household9,38,-3.142254719869383,171,4216,9504,3060
Household10,38,3.033074829654817,212,5129,2336,1073
Household1,39,-2.1323245543844873,234,8030,6415,5309
Household2,39,-2.708067174978728,127,2406,4425,3190
Household3,39,3.1957349686431797,186,3703,8745,999
Household4,39,11.57070703793995,365,8689,2936,5286
Household5,39,-3.4800541639292106,312,3310,2154,3294
Household6,39,2.932251299495528,255,1847,8525,5884
Household7,39,1.697420456682062,256,7959,2191,1634
Household8,39,3.2046487135612924,358,6458,7153,2398
Household9,39,1.236395413836286,175,4206,9494,3050
Household10,39,-3.7445559006329336,218,5119,2326,1063
Household1,40,-2.3475776562861963,240,8020,6405,5299
Household2,40,-0.7344363530255276,130,2396,4415,3180
Household3,40,-1.8981331125934773,191,3693,8735,989
Household4,40,-3.1017205429409564,375,8679,2926,5276
Household5,40,3.9004813398719804,319,3300,2144,3284
Household6,40,-3.6987735932535237,262,1837,8515,5874
Household7,40,-0.2260628558137654,263,7949,2181,1624
Household8,40,16.570456698584422,367,6448,7143,2388
Household9,40,-2.352921375573315,180,4196,9484,3040
Household10,40,1.9806773575682488,223,5109,2316,1053
Household1,41,-3.7865215542443824,246,8010,6395,5289
Household2,41,1.239194468927666,133,2386,4405,3170
Household3,41,4.287171998602318,195,3683,8725,979
Household4,41,21.038155616823143,384,8669,2916,5266
Household5,41,-2.2261956038924176,328,3290,2134,3274
Household6,41,2.1730655024863896,268,1827,8505,5864
Household7,41,-2.149546168309584,270,7939,2171,1614
Household8,41,-2.9555932606062782,376,6438,7133,2378
Household9,41,2.025728758132354,184,4186,9474,3030
Household10,41,-0.2620563073458282,229,5099,2306,1043
Household1,42,-0.6905683868289199,252,8000,6385,5279
Household2,42,3.2128252908808523,136,2376,4395,3160
Household3,42,-0.806696082634339,200,3673,8715,969
Household4,42,6.365728035942237,394,8659,2906,5256
Household5,42,-2.813627023206479,336,3280,2124,3264
Household6,42,-4.4579593902626335,275,1817,8495,5854
Household7,42,3.894937442309862,276,7929,2161,1604
Household8,42,10.410214724416846,385,6428,7123,2368
Household9,42,-1.5635880312772468,189,4176,9464,3020
Household10,42,-2.5047899722599265,235,5089,2296,1033
Household1,43,-0.905821488730643,258,7990,6375,5269
Household2,43,-2.7815108102812527,140,2366,4385,3150
Household3,43,-2.5893578945538067,205,3663,8705,959
Household4,43,-2.3862537485075137,403,8649,2896,5246
Household5,43,-3.401058442520551,344,3270,2114,3254
Household6,43,1.4138797054772798,281,1807,8485,5844
Household7,43,-1.970144077273229,283,7919,2151,1594
Household8,43,23.776022709440014,394,6418,7113,2358
Household9,43,2.8150621024284224,193,4166,9454,3010
Household10,43,3.2204432859412524,240,5079,2286,1023
Household1,44,-1.121074590632352,264,7980,6365,5259
Household2,44,-0.8078799883280521,143,2356,4375,3140
Household3,44,3.5959472166419886,209,3653,8695,949
Household4,44,21.753622411256583,412,8639,2886,5236
Household5,44,3.9794770612806403,351,3260,2104,3244
Household6,44,-0.6822481218980698,288,1797,8475,5834
Household7,44,4.074339533346199,289,7909,2141,1584
Household8,44,-0.2633525147911282,404,6408,7103,2348
Household9,44,-0.7742546869811786,198,4156,9444,3000
Household10,44,-2.333496648290021,246,5069,2276,1013
Household1,45,-1.336327692534061,270,7970,6355,5249
Household2,45,1.1657508336251414,146,2346,4365,3130
Household3,45,-1.4979208645946684,214,3643,8685,939
Household4,45,7.081194830375676,422,8629,2876,5226
Household5,45,-2.1471998824837577,360,3250,2094,3234
Household6,45,-2.778375949273439,295,1787,8465,5824
Household7,45,-1.7907419862368918,296,7899,2131,1574
Household8,45,13.102455470232002,413,6398,7093,2338
Household9,45,3.6043954467244905,202,4146,9434,2990
Household10,45,3.391736609911158,251,5059,2266,1003
Household1,46,-1.55158079443577,276,7960,6345,5239
Household2,46,3.139381655578328,149,2336,4355,3120
Household3,46,-3.280582676514136,219,3633,8675,929
Household4,46,-1.6707869540740745,431,8619,2866,5216
Household5,46,-2.734631301797819,368,3240,2084,3224
Household6,46,3.0934631464664566,301,1777,8455,5814
Household7,46,4.253741624382537,302,7889,2121,1564
Household8,46,26.46826345525514,422,6388,7083,2328
Household9,46,-4.519818408058784,207,4136,9424,2980
Household10,46,-2.1622033243201155,257,5049,2256,993
Household1,47,-1.766833896337479,282,7950,6335,5229
Household2,47,-2.854954445583777,153,2326,4345,3110
Household3,47,2.904722434681659,223,3623,8665,919
Household4,47,22.46908920569002,440,8609,2856,5206
Household5,47,-3.322062721111891,376,3230,2074,3214
Household6,47,-2.944262887996185,308,1767,8445,5804
Household7,47,-1.6113398952005547,309,7879,2111,1554
Household8,47,2.4288882310239988,432,6378,7073,2318
Household9,47,-0.1411682743531113,211,4126,9414,2970
Household10,47,3.5630299338810634,262,5039,2246,983
Household1,48,-1.982086998239188,288,7940,6325,5219
Household2,48,-0.8813236236305766,156,2316,4335,3100
Household3,48,-2.189145646554998,228,3613,8655,909
Household4,48,7.796661624809115,450,8599,2846,5196
Household5,48,4.0584727826893,383,3220,2064,3204
Household6,48,2.927576207743721,314,1757,8435,5794
Household7,48,-3.5348232076963892,316,7869,2101,1544
Household8,48,15.794696216047129,441,6368,7063,2308
Household9,48,4.237481859352551,215,4116,9404,2960
Household10,48,-1.99091000035021,268,5029,2236,973
Household1,49,-2.197340100140897,294,7930,6315,5209
Household2,49,1.092307198322617,159,2306,4325,3090
Household3,49,3.9961594646407974,232,3603,8645,899
Household4,49,-0.9553201596406353,459,8589,2836,5186
Household5,49,-2.068204161075098,392,3210,2054,3194
Household6,49,-3.7034486850053305,321,1747,8425,5784
Household7,49,2.509660402923055,322,7859,2091,1534
Household8,49,4.236613179971691,449,6358,7053,2298
Household9,49,-3.886731995430724,220,4106,9394,2950
Household10,49,3.734323257850969,273,5019,2226,963
Household1,50,-2.412593202042606,300,7920,6305,5199
Household2,50,3.0659380202758033,162,2296,4315,3080
Household3,50,-1.0977086165958596,237,3593,8635,889
Household4,50,23.184556000123454,468,8579,2826,5176
Household5,50,-2.655635580389159,400,3200,2044,3184
Household6,50,2.168390410734583,327,1737,8415,5774
Household7,50,-3.948719974946446,329,7849,2081,1524
Household8,50,17.60242116499481,458,6348,7043,2288
Household9,50,0.4919181382749489,224,4096,9384,2940
Household10,50,-1.8196166763803046,279,5009,2216,953
Household1,51,-3.851537100000792,306,7910,6295,5189
Household2,51,-2.9283980808863017,166,2286,4305,3070
Household3,51,-2.8803704285153273,242,3583,8625,879
Household4,51,8.512128419242554,478,8569,2816,5166
Household5,51,-3.243066999703231,408,3190,2034,3174
Household6,51,-4.46263448201444,334,1727,8405,5764
Household7,51,2.0957636356729896,335,7839,2071,1514
Household8,51,-1.923628794195892,467,6338,7033,2278
Household9,51,-3.097398651134652,229,4086,9374,2930
Household10,51,3.9056165818208743,284,4999,2206,943
Household1,52,-0.7555839325853295,312,7900,6285,5179
Household2,52,-0.9547672589331011,169,2276,4295,3060
Household3,52,3.304934682680468,246,3573,8615,869
Household4,52,-0.23985336520719613,487,8559,2806,5156
Household5,52,4.13746850409796,415,3180,2024,3164
Household6,52,1.409204613725473,340,1717,8395,5754
Household7,52,-4.362616742196511,342,7829,2061,1504
Household8,52,11.442179190827233,476,6328,7023,2268
Household9,52,1.281251482571017,233,4076,9364,2920
Household10,52,-1.6483233524103706,290,4989,2196,933
Household1,53,-0.9708370344870527,318,7890,6275,5169
Household2,53,1.0188635630200924,172,2266,4285,3050
Household3,53,-1.788933398556189,251,3563,8605,859
Household4,53,23.900022794556893,496,8549,2796,5146
Household5,53,-1.989208439666438,424,3170,2014,3154
Household6,53,-0.6869232136498766,347,1707,8385,5744
Household7,53,1.681866868422924,348,7819,2051,1494
Household8,53,24.8079871758504,485,6318,7013,2258
Household9,53,-2.308065306838584,238,4066,9354,2910
Household10,53,4.076909905790808,295,4979,2186,923
Household1,54,-1.1860901363887617,324,7880,6265,5159
Household2,54,2.992494384973279,175,2256,4275,3040
Household3,54,-3.5715952104756568,256,3553,8595,849
Household4,54,9.227595213675993,506,8539,2786,5136
Household5,54,-2.5766398589804993,432,3160,2004,3144
