DataSet,Day,Money,Goods,GoodsPrice,Land,Labour,Capital
Firm1,3,-2267.5918920235554,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,3,-2355.174175763754,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,3,-2202.080390037393,3,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,3,-2259.1684433230944,7,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,3,-2316.0885560882516,2,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,3,-2769.9190979604305,10,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,3,-2577.3549803967244,18,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,3,-3139.138413186876,27,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,3,-2762.1685612123424,24,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,3,-2071.079195994299,13,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,4,-3178.586247740276,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,4,-3216.891402551435,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,4,-3130.570070954588,4,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,4,-3269.7202971777383,9,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,4,-3287.775778177488,3,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,4,-3737.9943785541204,14,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,4,-3662.021444861636,25,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,4,-4454.400881448889,36,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,4,-3816.0627609368103,33,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,4,-2999.7307272945236,20,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,5,-4089.580603456997,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,5,-4078.608629339117,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,5,-4059.059751871783,5,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,5,-4280.272151032383,11,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,5,-4259.4630002667245,4,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,5,-4694.790485955378,17,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,5,-4722.868779066142,30,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,5,-5771.070470242293,45,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,5,-4868.549840129887,42,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,5,-3920.414291671633,26,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,6,-5000.574959173722,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,6,-4940.3258561268,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,6,-4987.549432788978,6,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,6,-5290.824004887025,13,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,6,-5231.150222355961,5,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,6,-5651.586593356636,20,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,6,-5807.535243531045,37,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,6,-7086.332938504306,54,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,6,-5916.523594057917,50,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,6,-4841.097856048742,32,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,7,-5911.569314890434,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,7,-5802.043082914483,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,7,-5916.039113706173,7,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,7,-6301.375858741667,15,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,7,-6202.837444445197,6,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,7,-6608.382700757893,23,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,7,-6880.2921428657455,43,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,7,-8401.595406766319,63,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,7,-6964.497347985946,58,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,7,-5753.813453502722,37,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,8,-6822.5636706071455,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,8,-6663.7603097021665,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,8,-6844.528794623368,8,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,8,-7311.927712596309,17,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,8,-7174.524666534434,7,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,8,-7576.457981351583,27,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,8,-7964.958607330648,50,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,8,-9718.26499555972,72,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,8,-7994.428992401037,64,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,8,-6682.464984802933,44,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,9,-7733.558026323857,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,9,-7525.47753648985,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,9,-7773.0184755405635,9,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,9,-8322.47956645095,19,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,9,-8146.211888623669,8,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,9,-8521.974915560415,29,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,9,-9037.715506665349,56,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,9,-11033.52746382173,81,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,9,-9042.402746329066,72,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,9,-7603.148549180029,50,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,10,-8644.55238204056,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,10,-8387.19476327753,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,10,-8701.50815645776,10,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,10,-9333.031420305606,21,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,10,-9117.899110712919,9,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,10,-9490.050196154085,33,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,10,-10122.381971130271,63,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,10,-12348.78993208374,90,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,10,-10083.794082065031,80,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,10,-8531.80008048024,57,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,11,-9555.546737757262,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,11,-9248.911990065213,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,11,-9629.997837374958,11,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,11,-10343.583274160263,23,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,11,-10089.586332802182,10,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,11,-10435.567130362891,35,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,11,-11195.13887046499,69,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,11,-13665.459520877142,99,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,11,-11119.264972004565,87,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,11,-9460.451611780478,64,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,12,-10466.541093473965,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,12,-10110.629216852896,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,12,-10558.487518292157,12,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,12,-11354.13512801492,25,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,12,-11061.273554891446,11,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,12,-11414.921584148993,40,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,12,-12279.805334929913,76,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,12,-14980.721989139152,108,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,12,-12149.196616419647,93,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,12,-10365.19924231137,68,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,13,-11377.535449190667,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,13,-10972.34644364058,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,13,-11486.977199209356,13,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,13,-12364.686981869576,27,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,13,-12032.96077698071,12,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,13,-12394.276037935095,45,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,13,-13364.471799394836,83,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,13,-16258.579274191909,116,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,13,-13195.101277420654,102,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,13,-11277.914839765377,73,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,14,-12288.52980490737,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,14,-11834.063670428262,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,14,-12415.466880126554,14,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,14,-13375.238835724233,29,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,14,-13004.647999069974,13,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,14,-13351.072145336333,48,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,14,-14449.138263859759,90,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,14,-17612.654046194555,126,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,14,-14230.572167360187,109,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,14,-12206.566371065615,80,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,15,-13199.524160624072,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,15,-12695.780897215946,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,15,-13343.956561043753,15,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,15,-14385.79068957889,31,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,15,-13976.335221159237,14,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,15,-14319.147425930003,52,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,15,-15521.895163194478,96,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,15,-18890.51133124731,134,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,15,-15270.556382564762,117,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,15,-13127.249935442738,86,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,16,-14110.518516340775,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,16,-13557.498124003629,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,16,-14272.446241960952,16,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,16,-15396.342543433546,33,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,16,-14948.022443248501,15,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,16,-15275.943533331241,55,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,16,-16606.5616276594,103,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,16,-20205.773799509323,143,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,16,-16318.911336764766,125,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,16,-14047.933499819861,92,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,17,-15021.512872057478,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,17,-14419.215350791312,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,17,-15200.93592287815,17,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,17,-16406.8943972882,35,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,17,-15919.709665337765,16,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,17,-16244.018813924911,59,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,17,-17679.31852699412,109,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,17,-21559.84857151198,153,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,17,-17366.88509069279,133,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,17,-14944.713163427637,95,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,18,-15932.50722777418,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,18,-15280.932577578995,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,18,-16129.425603795351,18,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,18,-17417.44625114283,37,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,18,-16891.396887427043,17,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,18,-17212.094094518576,63,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,18,-18763.98499145904,116,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,18,-22837.705856564735,161,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,18,-18414.858844620827,141,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,18,-15865.39672780476,101,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,19,-16843.5015834909,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,19,-16142.649804366685,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,19,-17057.915284712548,19,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,19,-18427.998104997456,39,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,19,-17863.08410951627,18,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,19,-18168.890201919854,66,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,19,-19836.74189079376,122,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,19,-24152.968324826747,170,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,19,-19456.250180356805,149,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,19,-16786.080292181883,107,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,20,-17754.49593920762,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,20,-17004.367031154376,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,20,-17986.40496562974,20,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,20,-19438.549958852083,41,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,20,-18834.771331605494,19,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,20,-19136.965482513566,70,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,20,-20909.49879012848,128,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,20,-25507.043096829402,180,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,20,-20498.68468876039,156,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,20,-17698.795889635836,112,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,21,-18665.49029492434,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,21,-17866.08425794206,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,21,-18914.89464654693,21,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,21,-20449.10181270671,43,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,21,-19806.45855369472,20,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,21,-20105.040763107278,74,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,21,-21994.1652545934,135,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,21,-26784.90038188216,188,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,21,-21546.658442688426,164,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,21,-18611.51148708979,117,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,22,-19576.48465064106,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,22,-18727.801484729745,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
